SGAN;Presentación;Peso Neto (kg);Tipo;Categoría;Regional;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;Marzo;Abril;Mayo;Junio;Target Market;Tipo ABC;Marzo;Abril;Mayo;Junio
S954;PC;0,471;FERT;NORM;BARRANQUILLA;264;282;324;144;180;216;235;235;235;235;SEALING & BONDING;A;177;221;123;214
S2857;PC;50;FERT;NORM;CALI;28.035;39.855;41.520;50.892;26.958;28.050;35.885;35.885;35.885;35.885;BUILDING FINISHING;A;22.500;33.464;33.665;32.609
S2857;PC;50;FERT;NORM;BOGOTÁ;8.139;5.727;9.228;7.464;6.060;6.276;7.149;7.149;7.149;7.149;BUILDING FINISHING;A;3.516;7.627;7.673;7.432
S2857;PC;50;FERT;NORM;ORIENTE;2.538;5.865;1.089;90;4.482;480;2.424;2.424;2.424;2.424;BUILDING FINISHING;A;2.007;1.820;1.831;1.773
S2857;PC;50;FERT;NORM;PEREIRA;759;630;420;1.845;711;813;1.123;1.123;1.123;1.123;BUILDING FINISHING;A;900;868;873;846
S2857;PC;50;FERT;NORM;BARRANQUILLA;0;2.775;60;306;900;573;769;769;769;769;BUILDING FINISHING;A;1.500;998;1.004;973
S2857;PC;50;FERT;NORM;SANTANDER;930;0;600;1.200;0;600;600;600;600;600;BUILDING FINISHING;A;420;947;953;923
S278;KG;1;FERT;YBLK;SANTANDER;60.000;36.000;55.500;41.100;54.000;18.000;44.100;44.100;44.100;44.100;CONCRETE.;B;54.000;54.000;54.000;45.393
S3236;KG;1;FERT;YBLK;MEDELLÍN;42.300;44.400;34.800;32.100;25.500;26.100;34.200;34.200;34.200;34.200;CONCRETE.;A;55.263;45.714;52.647;41.460
S3236;KG;1;FERT;YBLK;ORIENTE;5.400;6.654;0;0;3.540;3.000;3.099;3.099;3.099;3.099;CONCRETE.;A;7.802;5.327;5.468;5.525
S3236;KG;1;FERT;YBLK;CALI;3.000;0;9.000;9.000;0;0;3.500;3.500;3.500;3.500;CONCRETE.;A;4.251;3.286;3.372;3.408
S4131;PC;1;FERT;NORM;BARRANQUILLA;11.670;19.440;28.647;25.293;0;0;14.175;14.175;14.175;14.175;WATERPROOFING;A;18.635;26.966;18.792;15.342
S4131;PC;1;FERT;NORM;BOGOTÁ;7.320;3.660;5.724;60;900;108;2.962;2.962;2.962;2.962;WATERPROOFING;A;8.814;12.880;8.976;7.328
S4131;PC;1;FERT;NORM;MEDELLÍN;4.572;5.520;8.880;1.380;324;0;3.446;3.446;3.446;3.446;WATERPROOFING;A;4.221;5.966;4.158;3.394
S4131;PC;1;FERT;NORM;CALI;1.410;2.820;4.890;1.038;1.020;57;1.873;1.873;1.873;1.873;WATERPROOFING;A;3.302;4.771;3.325;2.714
S4131;PC;1;FERT;NORM;ORIENTE;3.264;2.010;5.760;0;129;63;1.871;1.871;1.871;1.871;WATERPROOFING;A;2.430;3.544;2.470;2.016
